Date,Change_Price,RSI,50MA,200MA,14-high,14-low,%K,SC,MACD,Log_Returns,Signal_MACD,Target
2019-01-03,-5.7328643798828125,37.00648394861393,253.03673828125,260.61062911987307,267.489990234375,233.75999450683594,2.2228615865252164,12.768578443485628,-1.7474235960092699,-0.024152139545906337,-5.703434640311561,0
2019-01-04,7.8551025390625,46.9896147412726,252.63297302246093,260.5406526184082,264.0299987792969,233.75999450683594,28.427064561253168,16.348532408266585,-1.4321334495403448,0.03294707889921966,-5.56446576869814,1
2019-01-07,1.91094970703125,49.10284350531796,252.29415771484375,260.4826908111572,260.6499938964844,233.75999450683594,39.1068189027404,23.25224835017279,-1.1016402114327377,0.007853677607238652,-5.307686270776968,1
2019-01-08,2.2950439453125,51.598423481441195,252.15953369140624,260.4681840515137,259.3999938964844,233.75999450683594,49.96438227195281,39.16608857864865,-0.7518741630345858,0.009351436060478058,-4.941812783863412,1
2019-01-09,1.15234375,52.84853537748126,251.9570684814453,260.4860260772705,259.3999938964844,233.75999450683594,54.45870277675451,47.8433013171491,-0.435414232546691,0.0046625922246690266,-4.497092628442147,1
2019-01-10,0.8738555908203125,53.82254154849729,251.86277740478516,260.4748380279541,259.1600036621094,233.75999450683594,58.41362717505249,54.27890407458646,-0.1596296615636561,0.0035213411677155193,-4.002074234777883,1
2019-01-11,0.0960540771484375,53.935182599260834,251.7984753417969,260.48546592712404,259.1600036621094,233.75999450683594,58.79179269680977,57.22137421620545,0.05263914149358584,0.0003863099771646006,-3.490825538578318,1
2019-01-14,-1.517242431640625,51.78633458610163,251.6291717529297,260.4921506500244,259.1600036621094,233.75999450683594,52.818399449722605,56.674606440528144,0.1552448269476372,-0.00611954852253227,-3.0124549239702882,0
2019-01-15,2.83282470703125,55.36223482350335,251.46191467285155,260.49729309082034,260.70001220703125,233.75999450683594,60.31437389446068,57.30818868033088,0.33158671132943596,0.011395588406678314,-2.5277065742066327,1
2019-01-16,0.6049346923828125,56.11082840888558,251.2517642211914,260.53233085632326,261.9700012207031,238.9600067138672,50.64592903235646,54.59290079217977,0.4791411982830027,0.0024167319390739905,-2.048959558815358,1
2019-01-17,1.9013671875,58.46839803691127,251.1105743408203,260.56126411437987,263.9200134277344,243.6699981689453,43.67898546083392,51.546429462550215,0.6494618455871262,0.007558211239231838,-1.5640655768943672,1
2019-01-18,3.3610076904296875,62.32132648597485,251.00796325683595,260.5938033294678,266.9800109863281,243.6699981689453,52.36380179950185,48.89623876423061,0.8865347910453352,0.013222329327599702,-1.04355000267391,1
